size;resolution;mask_size;nanoseconds
3;320x180;7x7;5704500
3;320x180;9x9;9060100
3;320x180;11x11;13126100
3;320x180;13x13;18041400
3;320x180;15x15;23744000
2;160x90;3x3;1052700
2;160x90;5x5;1811600
2;160x90;7x7;3114800
2;160x90;9x9;4706200
2;160x90;11x11;6667600
2;160x90;13x13;9039000
2;160x90;15x15;11867800
1;80x45;3x3;720900
1;80x45;5x5;1272700
1;80x45;7x7;2030100
1;80x45;9x9;3216900
1;80x45;11x11;4446400
1;80x45;13x13;6148300
1;80x45;15x15;7643200
5;1280x720;3x3;18117200
5;1280x720;5x5;43249500
5;1280x720;7x7;81099700
5;1280x720;9x9;140800200
5;1280x720;11x11;207885800
5;1280x720;13x13;291472800
5;1280x720;15x15;386350900
4;640x360;3x3;6958100
4;640x360;5x5;12584600
4;640x360;7x7;22322900
4;640x360;9x9;38684600
4;640x360;11x11;54567300
4;640x360;13x13;74775700
4;640x360;15x15;99512200
3;320x180;3x3;1744700
3;320x180;5x5;3779200
3;320x180;7x7;6331500
3;320x180;9x9;9611300
3;320x180;11x11;13776900
3;320x180;13x13;19530900
3;320x180;15x15;25672700
2;160x90;3x3;1843700
2;160x90;5x5;2464700
2;160x90;7x7;3151700
2;160x90;9x9;4801700
2;160x90;11x11;6784900
2;160x90;13x13;9209800
2;160x90;15x15;11984000
1;80x45;3x3;1011400
1;80x45;5x5;1349300
1;80x45;7x7;2174300
1;80x45;9x9;3180700
1;80x45;11x11;4458100
1;80x45;13x13;6144100
1;80x45;15x15;7874600
5;1280x720;3x3;22526100
5;1280x720;5x5;47929200
5;1280x720;7x7;89090700
5;1280x720;9x9;155136100
5;1280x720;11x11;204680400
5;1280x720;13x13;281406700
5;1280x720;15x15;370399000
4;640x360;3x3;5323000
4;640x360;5x5;11634000
4;640x360;7x7;21503700
4;640x360;9x9;34907100
4;640x360;11x11;52306100
4;640x360;13x13;78010300
4;640x360;15x15;98556800
3;320x180;3x3;1810700
3;320x180;5x5;3376400
3;320x180;7x7;5835100
3;320x180;9x9;9294400
3;320x180;11x11;14130900
3;320x180;13x13;19086500
3;320x180;15x15;26075300
2;160x90;3x3;1323600
2;160x90;5x5;2608700
2;160x90;7x7;3740400
