size;resolution;mask_size;nanoseconds
1;80x45;15x15;777800
5;1280x720;3x3;6624600
5;1280x720;5x5;7816800
5;1280x720;7x7;9261700
5;1280x720;9x9;11201400
5;1280x720;11x11;13820800
5;1280x720;13x13;17115000
5;1280x720;15x15;21167400
4;640x360;3x3;2366600
4;640x360;5x5;2614900
4;640x360;7x7;2489900
4;640x360;9x9;2807000
4;640x360;11x11;3327700
4;640x360;13x13;4060800
4;640x360;15x15;4904500
3;320x180;3x3;820200
3;320x180;5x5;990400
3;320x180;7x7;1004400
3;320x180;9x9;1118100
3;320x180;11x11;1268900
3;320x180;13x13;1460300
3;320x180;15x15;1650900
2;160x90;3x3;653800
2;160x90;5x5;654300
2;160x90;7x7;727500
2;160x90;9x9;869600
2;160x90;11x11;953900
2;160x90;13x13;994800
2;160x90;15x15;1059700
1;80x45;3x3;534000
1;80x45;5x5;583400
1;80x45;7x7;591500
1;80x45;9x9;626300
1;80x45;11x11;762900
1;80x45;13x13;760600
1;80x45;15x15;818000
5;1280x720;3x3;6734900
5;1280x720;5x5;7245200
5;1280x720;7x7;7880600
5;1280x720;9x9;9695600
5;1280x720;11x11;11904500
5;1280x720;13x13;14047100
5;1280x720;15x15;16819200
4;640x360;3x3;1692700
4;640x360;5x5;2250600
4;640x360;7x7;2558800
4;640x360;9x9;2738400
4;640x360;11x11;3204000
4;640x360;13x13;3633200
4;640x360;15x15;4350700
3;320x180;3x3;1037800
3;320x180;5x5;1337900
3;320x180;7x7;1258200
3;320x180;9x9;1392400
3;320x180;11x11;1510000
3;320x180;13x13;1616200
3;320x180;15x15;1770200
2;160x90;3x3;1057000
2;160x90;5x5;1045100
2;160x90;7x7;1093400
2;160x90;9x9;1184200
2;160x90;11x11;1268300
2;160x90;13x13;1279700
2;160x90;15x15;4365800
1;80x45;3x3;2065300
1;80x45;5x5;1751500
1;80x45;7x7;3083300
1;80x45;9x9;6123600
1;80x45;11x11;1870700
1;80x45;13x13;2396600
1;80x45;15x15;1366500
5;1280x720;3x3;6922700
5;1280x720;5x5;5926300
5;1280x720;7x7;5762700
5;1280x720;9x9;6257900
5;1280x720;11x11;7546900
5;1280x720;13x13;9173700
5;1280x720;15x15;10966600
